ptp,counterbalancing,rt,mouse_clientX,mouse_clientY,row,col,correct,pa_center_x,pa_center_y,condition,arrangement,block,block_trial_idx,hidden_pa_img,hidden_pa_img_type,corr_row,corr_col,top_offset,left_offset,time_elapsed,mouse_dist_cb,mouse_error,hidden_pa_img_row_number,hidden_pa_img_row_number_across_blocks,dist_border_l,dist_border_r,dist_border_t,dist_border_b,border_dist_closest,border_dist_summed,display_information.wrapper_arena_position.x,display_information.wrapper_arena_position.y,display_information.wrapper_arena_position.width,display_information.wrapper_arena_position.height,display_information.wrapper_arena_position.top,display_information.wrapper_arena_position.right,display_information.wrapper_arena_position.bottom,display_information.wrapper_arena_position.left,display_information.grid_border_position.x,display_information.grid_border_position.y,display_information.grid_border_position.width,display_information.grid_border_position.height,display_information.grid_border_position.top,display_information.grid_border_position.right,display_information.grid_border_position.bottom,display_information.grid_border_position.left,display_information.grid_box_position.x,display_information.grid_box_position.y,display_information.grid_box_position.width,display_information.grid_box_position.height,display_information.grid_box_position.top,display_information.grid_box_position.right,display_information.grid_box_position.bottom,display_information.grid_box_position.left,display_information.window_scroll_x,display_information.window_scroll_y,display_information.window_innerHeight,display_information.window_innerWidth,display_information.window_outerHeight,display_information.window_outerWidth
sub_001,cb3,1305.2000000001863,513,450,9,4,0,451.7916679382324,431.7916679382324,practice,6,1,1,img/targets/BOSS/high_familiarity_downsized/practice/008_mug05.jpg,,9,3,74,36,6898,79.41666412353516,63.85924576954537,1,1,2,9,8,3,2,5,280.66668701171875,-27.33333396911621,702,702,-27.33333396911621,982.66668701171875,674.6666660308838,280.66668701171875,317.66668701171875,47.66666793823242,560,560,47.66666793823242,877.66668701171875,607.6666679382324,317.66668701171875,347.66668701171875,77.66667175292969,500,500,77.66667175292969,847.66668701171875,577.6666717529297,347.66668701171875,0,27.33333396911621,720,1280,720,1280
sub_001,cb3,1456.2000000001863,844,615,11,10,0,616.1250419616699,241.4583396911621,practice,6,1,2,img/targets/BOSS/high_familiarity_downsized/practice/009_oven.jpg,,2,5,148,117,13393,601.416618347168,437.5618453284677,1,1,4,7,1,10,1,5,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,398.66668701171875,149,560,560,149,958.66668701171875,709,398.66668701171875,428.66668701171875,179,500,500,179,928.66668701171875,679,428.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,1267.2999999998137,455,540,10,3,0,766.4583549499512,304.7916679382324,practice,6,1,3,img/targets/BOSS/high_familiarity_downsized/practice/010_exitsign.jpg,near,4,10,128,59,19715,546.66668701171875,390.2938205242411,1,1,9,2,3,8,2,5,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,340.66668701171875,129,560,560,129,900.66668701171875,689,340.66668701171875,370.66668701171875,159,500,500,159,870.66668701171875,659,370.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,1014.9000000003725,755,266,2,9,0,784.4583549499512,303.1250114440918,practice,6,1,4,img/targets/BOSS/high_familiarity_downsized/practice/010_exitsign.jpg,near,4,10,157,77,25784,66.58336639404297,47.39262760262676,2,2,9,2,3,8,2,5,280.66668701171875,-30.666667938232422,702,702,-30.666667938232422,982.66668701171875,671.3333320617676,280.66668701171875,358.66668701171875,127.33333587646484,560,560,127.33333587646484,918.66668701171875,687.3333358764648,358.66668701171875,388.66668701171875,157.33334350585937,500,500,157.33334350585937,888.66668701171875,657.3333435058594,388.66668701171875,0,30.66666603088379,720,1280,720,1280
sub_001,cb3,939.5,565,450,7,4,0,516.7916679382324,525.1250114440918,practice,6,1,5,img/targets/BOSS/high_familiarity_downsized/practice/008_mug05.jpg,,9,3,140,101,31754,123.33334350585937,89.2625936473536,2,2,2,9,8,3,2,5,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,382.66668701171875,141,560,560,141,942.66668701171875,701,382.66668701171875,412.66668701171875,171,500,500,171,912.66668701171875,671,412.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,834,599,160,3,5,0,617.1250419616699,113.45833969116211,practice,6,1,6,img/targets/BOSS/high_familiarity_downsized/practice/009_oven.jpg,,2,5,20,118,37609,64.66670227050781,49.94640417903527,2,2,4,7,1,10,1,5,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,399.66668701171875,21,560,560,21,959.66668701171875,581,399.66668701171875,429.66668701171875,51,500,500,51,929.66668701171875,551,429.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,686.5,628,512,9,5,0,564.7916679382324,451.4583549499512,practice2,7,1,1,img/targets/BOSS/high_familiarity_downsized/practice2/019_cartonofeggs.jpg,,8,3,108,149,6254,123.7499771118164,87.52476236698261,1,1,2,9,7,4,2,6,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,430.66668701171875,109,560,560,109,990.66668701171875,669,430.66668701171875,460.66668701171875,139,500,500,139,960.66668701171875,639,460.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,657.2000000001863,734,402,9,10,0,616.4583549499512,265.1250114440918,practice2,7,1,2,img/targets/BOSS/high_familiarity_downsized/practice2/020_corn02.jpg,near,6,7,5,34,11928,254.41663360595703,180.41840486284005,1,1,6,5,5,6,5,10,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,315.66668701171875,6,560,560,6,875.66668701171875,566,315.66668701171875,345.66668701171875,36,500,500,36,845.66668701171875,536,345.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,1064,516,384,7,3,0,693.4583549499512,336.1250114440918,practice2,7,1,3,img/targets/BOSS/high_familiarity_downsized/practice2/020_corn02.jpg,near,6,7,76,111,18012,225.33334350585937,183.80283531755217,2,2,6,5,5,6,5,10,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,392.66668701171875,77,560,560,77,952.66668701171875,637,392.66668701171875,422.66668701171875,107,500,500,107,922.66668701171875,607,422.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,892.7000000001863,681,383,5,8,0,785.4583549499512,530.1250114440918,practice2,7,1,4,img/targets/BOSS/high_familiarity_downsized/practice2/021_couch02.jpg,near,9,10,145,78,23936,251.58336639404297,180.4364622554824,1,1,9,2,8,3,2,5,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,359.66668701171875,146,560,560,146,919.66668701171875,706,359.66668701171875,389.66668701171875,176,500,500,176,889.66668701171875,676,389.66668701171875,0,0,720,1280,720,1280
