ptp,Clear instructions?,Notice schema_6_0,Notice schema_2_2,Notice schema_4_2,Notice schema_4_4,Strategy?,Did visible ones help or hinder?,Anything else
sub_001,yes,yes,no,no,yes,no,helped. didn't depend on the board.,no
sub_002,yes,no,no,no,no,"I ignored all the visible images and tried to remember the rough location of the hidden ones eg R/L/top/bottom. Once I had memorised that I tried to remember a more specific location eg bottom right, top left.",I ignored them.,"It was fun, thank you!"
sub_003,they were clear,yes,"i noticed that some moved, not specifically 2","i noticed that some moved, not specifically 2",yes,"just learning the general location, distance from corners and edges","i did not use the visible pictures to learn the locations of the hidden ones, at least, not intentionally",n/a
sub_004,Yes they were all clar,yes i noticed this,I recognised this towards the end,yes,Yes i thought this was the case,"I used the square grid to help me work out the distances of the hidden pictures from the edge of the square to help locate it. The same applied with working out the distance of the hidden pictures from the static visible pictures. This strategy worked across the board in the most part, but having to adapt to random movement","Yes, as stated above the visible pictures provided markers for me to work out how many 'squares' I was from a hidden image",None that i can think of; thank you
sub_005,"Yes, instruction were clear",yes,No,no,No,I try to remeber the location of each picture ,It helped alot while i was learning the locations of hidden pictures ,no
sub_006,They seemed pretty clear to me,Maybe?,Yes,I only noticed a couple that didn't move,I  noticed 3 that didn't move,Try to find the best 'reference' visible pictures i.e ones that did not move and were somewhere I deemed noteworthy relative to the hidden pictures.,"The more visible pictures that didn't move, the better, although that isn't really saying much with how badly I did!","None that wouldn't compromise the results of the test in some capacity, I'm sure."
sub_007,"yes, once i started it was easy to follow",no i didn't!,yes,yeah,yes!,i tried to work out which image stayed the same location on each round and used that as a focus point,"it depended on the board, the 4 images were a lot harder than 6!",no
sub_008,yes,yes,yes,yes,yes,yes I made picture clues to help me identify the places,they kind of help in most cases,no
sub_009,Yes!,Yes,Yes,No,No,"I tried to remember the ones adjacent to the visible, stationary pictures. I also had a strategy for remembering that some images were above and some below e.g. pants were below and they're also lower on your body, whereas the cloud was higher up ","The stationary pictures helped, as I would remember which hidden pictures were nearby. It was more confusing with more pictures.",I would suggest having a bigger board on the screen!
sub_010,Yes,Yes,Yes,"I generally focussed on 2 that didn't move, I didn't notice if any others stayed","Again, I focussed on 2 that didn't move so I didn't notice if there were more than that","I looked at the pictures that didn't move and if any hidden pictures were next to them I remembered that. Then I just remembered the location of the hidden pictures roughly according to the square (top left, middle, bottom right etc)","The stable pictures helped me, but the ones that moved randomly did not help, I just dismissed them.",None
