ptp,n_perm,mean_mouse_error,n_perm_less_mouse_error,percentile_sim_mouse_error,qc_fail_mouse_error
sub_001,10000,99.71473320774625,0,0,FALSE
sub_002,10000,37.31037572779918,0,0,FALSE
sub_003,10000,53.56313133154677,0,0,FALSE
sub_004,10000,33.53273281235318,0,0,FALSE
sub_005,10000,46.96966051866585,0,0,FALSE
sub_006,10000,25.42680322619391,0,0,FALSE
sub_007,10000,42.83856481552575,0,0,FALSE
sub_008,10000,82.81894174890716,0,0,FALSE
sub_009,10000,65.95050165005885,0,0,FALSE
sub_010,10000,32.21132105920457,0,0,FALSE
sub_011,10000,61.891690769594504,0,0,FALSE
sub_012,10000,44.96997159464217,0,0,FALSE
sub_013,10000,107.45033459111853,0,0,FALSE
sub_014,10000,90.1708321114738,0,0,FALSE
sub_015,10000,42.5078808375103,0,0,FALSE
sub_016,10000,80.64871886524145,0,0,FALSE
sub_017,10000,37.98207506056815,0,0,FALSE
sub_018,10000,28.56987324316541,0,0,FALSE
sub_019,10000,44.525351207966175,0,0,FALSE
sub_020,10000,76.5388284693776,0,0,FALSE
sub_021,10000,44.383396257135196,0,0,FALSE
sub_022,10000,72.39994343547541,0,0,FALSE
sub_023,10000,47.24835889852916,0,0,FALSE
